X,Y,FID,OPS_PLAN_I,INCIDENT_N,PLAN_NAME,INCIDENTNU,INCIDENTNA,REGION,DISTRICT,RESERVE,FINANCIALY,SEASON,OBJECTIVE_,TREATED_AR,AREA_DRAWN,UNBOUNDED,OPERATIONS,OPS_STATUS,PUBLIC_INF,INCIDENT_C,FIREYEAR,GLOBALID,Shape_Leng,Shape_Area
138.691631663154,-35.0971465090297,0,172,155,Ops Plan 1,155,Scott Creek (Shingleback) A22,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Scott Creek (CP),2019/2020,AUTUMN,73.9,0,0,0,TPRATT,Operations Plan Postponed, ,DCRAWFORD,2020,{E5002643-1B10-426B-8954-E482E3FAFFAE},0.0426601558457,7.31797419997e-05
138.747682654294,-34.8320804925853,1,22,123,Ops Plan 1,123,Anstey Hill (Range Road) A21 B3,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Anstey Hill (RP),2020/2021,SPRING,3.5,0,0,0, ,New Operations Plan, , ,2020,{B7A5E938-5E93-4461-AA1C-F8EE005C8FCA},0.00890171501057,3.49065154673e-06
140.173351217755,-37.5512398856373,2,517,418,Ops Plan 1,418,Lake Frome,South East,Lower South East,Lake Frome (CP),2019/2020,AUTUMN,157.2,0,157.2,0,RANDERSON,Operations Plan Complete,Proposed,RANDERSON,2020,{1185014B-03E7-4300-8340-5308A96B4E2F},0.063278242973,0.000159527556594
138.671724865732,-35.00814297307,3,432,370,Ops Plan 1,370,Belair (Queens Jubilee Drive) B2,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Belair (NP),2019/2020,AUTUMN,8.3,8.3,8.3,0,TPRATT,Post Burn Activities Completed,Completed,SPARKER1,2020,{D6B6B11E-26EF-49D4-93C7-596F735C9549},0.0239724231204,8.17637372323e-06
138.747536487755,-34.9877660736183,4,644,497,Ops Plan 1,497,Mount George (Foreman Track),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Mount George (CP),2019/2020,AUTUMN,5.8,0,4.6,0,EMAPLETOFT,Operations Plan Postponed, ,KPHILP,2020,{51211018-D65F-4764-A3EC-6D292CA48688},0.00962503976674,4.58979022169e-06
140.513265595531,-37.7127691204496,5,376,326,Ops Plan 1,326,Gower,South East,Lower South East,Gower (CP),2020/2021,SPRING,9.7,0,0,0, ,New Operations Plan, , ,2020,{33B82873-B767-4526-AC44-D68A83559D72},0.0124678339796,9.86486697997e-06
138.529502055495,-35.4398963297618,6,877,144,Ops Plan 2,144,Spring Mount A24,Adelaide & Mt Lofty Ranges,Fleurieu and Willunga Basin,Spring Mount (CP),2020/2021,SPRING,25.4,0,25.4,0, ,New Operations Plan, , ,2020,{46B033C2-F621-42A0-B853-0D172AA13F82},0.0230857583108,2.52475489491e-05
138.67063198673,-35.2670247263671,7,224,222,Ops Plan 1,222,Kyeema (Woodgate Hill Rd),Adelaide & Mt Lofty Ranges,Ranges to River,Kyeema (CP),2019/2020,AUTUMN,25.8,0,0,0, ,Operations Plan Withdrawn, , ,2020,{DE65A1CF-0ACA-472E-AB35-85FA01BEC4C0},0.0211643434977,2.55488921178e-05
138.785870545231,-34.9601222557666,8,1017,696,Ops Plan 1,696,Carey Gully - Kneen Lane (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2020/2021,SPRING,7.9,0,7.9,0, ,New Operations Plan, , ,2020,{40F1BB62-B902-4522-B9EB-3964377300EB},0.0184048827163,7.77097077815e-06
140.52356455975,-37.084893674745,9,862,434,Ops Plan 3,434,Big Heath,South East,Lower South East,Big Heath (CP),2019/2020,AUTUMN,281.4,0,281.8,0, ,Operations Plan Postponed, , ,2020,{303217B2-BD14-4CC1-9DF7-65CD65102C3D},0.0706208856611,0.000284676487167
